nombre,pais,latitud,longitud
Matinha,Brazil,-3.0854936,-44.9626829
Hainan,China,19.5663947,109.949686
Tysmenytsya,Ukraine,48.9001898,24.8519696
Shahr-e Şafā,Afghanistan,31.80347,66.32376
Lagoaça,Portugal,41.1933912,-6.7293601
Sangiang,Indonesia,-5.9536723,105.8495796
Mamurras,Albania,41.5780148,19.6966667
Calumpang,Philippines,14.6527027,121.0271174
Pamotan,Indonesia,-6.761747,111.486801
Bay Roberts,Canada,47.59989,-53.26478
Dondon,Haiti,19.5269646,-72.2437813
Dongbei,China,38.876483,121.549925
Alchevs’k,Ukraine,48.4713393,38.8134406
Longshan,China,42.901533,125.136451
Gampang,Indonesia,-7.482537,112.6004965
Al Hilāliyya,Sudan,14.9398,33.234
Nglengkong,Indonesia,-8.1095216,111.8330962
Qianqiao,China,30.972043,117.23282
Chandmanĭ,Mongolia,45.3369621,97.9685657
Krasnogorskiy,Russia,55.8174294,37.3727638
Huicungo,Peru,-7.3195036,-76.7769324
Xiushi,China,27.999411,115.932899
Krajanpagowan,Indonesia,-8.1297,113.1213
Konstantynów,Poland,52.2060223,23.083666
Zakan-Yurt,Russia,43.2588087,45.4197638
Songshu,China,39.827482,122.099452
Magaria,Niger,13.0034658,8.9079782
Sieniawa Żarska,Poland,51.6406279,15.0625181
Nikol’sk,Russia,60.0209443,44.9318159
Palon,Indonesia,-7.0124761,111.4812472
Zákupy,Czech Republic,50.6797247,14.6466542
Urus-Martan,Russia,43.1298714,45.5357156
Torre,Portugal,40.347979,-7.0160004
Tromsø,Norway,69.63186,18.9221
Dunhao,China,31.33343,108.377449
Nago,Japan,35.5205328,135.7708561
Emiliano Zapata,Mexico,19.3624962,-96.6565439
Voždovac,Serbia,44.6711569,20.5029521
Străşeni,Moldova,47.0739574,28.6801952
Saint Aubin,Mauritius,-20.495949,57.5497376
Trelew,Argentina,-38.7029444,-62.2654522
Itigi,Tanzania,-5.706302,34.4946697
San Guillermo,Philippines,16.7184323,121.97007
Plereyan,Indonesia,-8.0450166,113.87632
Ţammūn,Palestinian Territory,32.283121,35.385789
Qalyūb,Egypt,30.1762897,31.2067851
Karangduren Dua,Indonesia,-8.0604636,112.6285385
Rezé,France,46.349041,3.556485
Qārah,Syria,34.1540161,36.7442377
Manturovo,Russia,58.3227586,44.7564274
Uticyacu,Peru,-6.633333,-78.8
Masumbwe,Tanzania,-3.6528013,32.1611288
Uga,Nigeria,5.9353459,7.0794263
Las Breñas,Argentina,-27.0900609,-61.0797039
Qinnan,China,21.938859,108.657209
Kukawa,Nigeria,12.9229652,13.5639377
Kinamayan,Philippines,7.5617699,125.6532848
Dallas,United States,32.8094568,-96.889555
Libertad,Mexico,19.4779768,-99.1771001
Munggang,Indonesia,-6.7837708,107.8569988
Jijiga,Ethiopia,9.3567838,42.7955185
Borås,Sweden,57.7197857,12.933356
Jabłonka,Poland,49.494604,19.7094323
Palmasola,Venezuela,10.7244426,-68.5485631
Houjia,China,37.020948,122.093267
Nagai,Japan,38.5796262,141.2777515
Iwai,Japan,34.6718873,133.8964708
Sionogan,Philippines,6.00528,120.94861
Barreiros,Brazil,-8.8325814,-35.2807624
Xinjian,China,42.5246357,87.5395855
Bussum,Netherlands,52.2766397,5.162358
La Laja,Chile,-33.6167,-70.5667
Juru,Brazil,-7.4652278,-37.7662816
Zemlyansk,Russia,51.9041,38.7334
Xitou,China,29.866917,118.403786
Tsurib,Russia,42.2368,46.83073
Sete Cidades,Portugal,37.8589492,-25.7944989
Bizhbulyak,Russia,53.695696,54.276083
Bañga,Philippines,14.8866729,120.8678329
Gakem,Nigeria,6.7703871,8.9935558
Salamnunggal,Indonesia,-7.1045439,107.8961537
Luxor,Egypt,25.6872431,32.6396357
Thành Phố Uông Bí,Vietnam,21.081585,106.7470536
Little Rock,United States,34.7179437,-92.3714901
Kozyatyn,Ukraine,49.7149346,28.8363647
Padina,Serbia,45.1099868,20.7477906
Bashan,China,29.04797,105.944081
Lincheng,China,37.444498,114.498761
Gorelki,Russia,54.2474065,37.6031799
Sanyang,China,41.805699,123.431472
Lamovita,Bosnia and Herzegovina,44.9286321,16.9119159
Sacramento,United States,38.58,-121.49
Nancheng,China,27.569678,116.63704
Lobos,Argentina,-34.6234902,-58.4955016
Kuangyuan,China,32.435435,105.843357
Lakateng,Indonesia,-8.2357,124.9124
Muzambinho,Brazil,-21.35188,-46.4970116
Tambaksari,Indonesia,-7.2504446,112.7688416
Dingle,Philippines,10.9991938,122.6717828
Slavuta,Ukraine,50.2969058,26.8600648
Ribeirão das Neves,Brazil,-19.7619024,-44.0853572
Vänersborg,Sweden,57.9675068,12.577321
Dongjie,China,26.08603,119.3028774
Colos,Portugal,37.7340363,-8.4593678
Åtvidaberg,Sweden,58.2007895,15.9976985
Novokhovrino,Russia,55.86667,37.5
Cotaparaco,Peru,-9.9935309,-77.5862992
Guinobatan,Philippines,13.1870951,123.6222777
Murcia,Philippines,10.554131,123.0143845
São Gonçalo do Sapucaí,Brazil,-21.8930428,-45.5939292
Stari Bar,Montenegro,42.0963895,19.1359789
Dayou,China,26.141854,116.188408
Kallinge,Sweden,56.2270517,15.3137401
Patria,Philippines,14.6334992,120.9685838
Quimbaya,Colombia,4.625907,-75.761865
Lincuo,China,25.566959,119.381211
Bicurga,Equatorial Guinea,1.5837191,10.4705682
Biguo,China,37.22351,120.560079
Bukitkemuning,Indonesia,-4.9590869,104.5422225
Pancol,Philippines,10.9005556,119.4011078
Esuk Oron,Nigeria,4.9404494,8.317343
Daye,China,30.095643,114.979875
Boston,United States,35.9015016,-81.138279
Lunang,China,29.943539,94.799435
Madimba,Tanzania,-10.4,40.333333
Jamundí,Colombia,3.1377116,-76.5929658
Dasheng,China,31.961364,118.613379
Kurmanayevka,Russia,52.5093,52.0675
Náchod,Czech Republic,50.4145722,16.1656347
Iza,Ukraine,48.2162668,23.3302946
Shuangzhong,China,29.724589,116.245433
Kertanegla,Indonesia,-7.5293844,107.9591094
Tenja,Croatia,45.4835641,18.7768698
Biscoitos,Portugal,38.7921433,-27.2587935
Khisarya,Bulgaria,42.5043656,24.7062087
Malabag,Philippines,14.1399735,120.9620573
Soweto,South Africa,-26.2652787,27.9073244
Santiago de Subrrifana,Portugal,41.2185635,-8.3027037
Rat Burana,Thailand,13.6730341,100.5014909
Wairiang,Indonesia,1.1322476,104.0115689
Paris La Défense,France,48.892701,2.233089
Cimo de Vila,Portugal,42.0649631,-8.3756082
Ledeč nad Sázavou,Czech Republic,49.6951686,15.2777272
Lilla Edet,Sweden,58.1456847,12.1337569
Vilcún,Chile,-38.6677187,-72.2244406
Novaya Derevnya,Russia,59.6626986,30.0764476
Al Jubayhah,Jordan,32.0188765,35.881947
Maltahöhe,Namibia,-24.8380587,16.9801346
Ōmura,Japan,32.8744365,129.9735343
Anfeng,China,26.888665,112.616612
Saint-Denis,Reunion,-20.891394,55.5178001
Portel,Portugal,38.3089089,-7.7085755
Ārt Khwājah,Afghanistan,37.08571,69.47958
San Isidro,Philippines,9.939624,126.065213
Montauban,France,44.025555,1.378056
Grängesberg,Sweden,60.0715764,15.0050581
Penisihan,Indonesia,-7.5882979,109.1553021
Lyantonde,Uganda,-0.4075041,31.1567203
Cartagena,Spain,37.5968793,-1.0346774
Liuli,Tanzania,-11.08224,34.646118
Dazhou,China,31.209571,107.468023
Omu Aran,Nigeria,8.1402266,5.0963141
Ruukki,Finland,65.0588742,25.4549855
Hakha,Myanmar,22.6421087,93.6040527
Heka,China,24.4670098,118.0855763
Mingjing,China,31.189496,121.42185
Timbrangan,Indonesia,-6.8595223,111.4886997
Taytay,Philippines,10.9915855,119.5914817
Dinskaya,Russia,45.1242818,39.3719039
Yinkeng,China,38.5484731,-122.8049523
Liangting,China,30.543283,117.062623
Perez,Philippines,14.689167,120.9849216
Reuleuet,Indonesia,5.21667,96.28333
Pau,France,43.2916776,-0.3696612
Kraljevo,Serbia,43.7238483,20.6872542
Menara,Indonesia,-6.2323908,106.8318446
Anding,China,35.580629,104.610668
Padasono,Indonesia,-7.3559,107.8034
Idvor,Serbia,45.1870126,20.5134778
Liminka,Finland,64.8157528,25.433892
Hankasalmi,Finland,62.3658212,26.4532856
Sala,Sweden,59.9191985,16.6108335
Marignane,France,43.4462218,5.2254137
Malesína,Greece,38.6226736,23.2352639
Culubasa,Philippines,15.1422858,120.6541966
Nangela,Indonesia,-7.3405276,106.7057733
Nankeng,China,32.060255,118.796877
Jukui,China,27.1574303,117.3011656
Beitai,China,21.481291,109.120161
Talashkino,Russia,54.6567593,32.1804491
Bloemhof,South Africa,-27.641736,25.5710689
Herzliya Pituah,Israel,32.174202,34.802932
Lecherías,Venezuela,10.19062,-64.6866092
Mosteiro,Portugal,41.7977426,-8.4531054
Garmo,China,31.254198,94.915316
Maksatikha,Russia,57.6044065,35.9190561
Tongtuan,China,23.020673,113.751799
Przyborów,Poland,49.617087,19.353513
Jauja,Peru,-11.7806236,-75.4869033
Goodlands,Mauritius,-20.0391408,57.6495717
Xilong,China,23.4082065,116.6878891
Sudislavl’,Russia,57.8773671,41.7123719
Šenčur,Slovenia,46.2433699,14.4192223
Grabovci,Croatia,43.8499847,15.7667685
Yeosu,South Korea,34.7603737,127.6622221
Beidao,China,26.091588,119.303552
Fojo,Portugal,40.9860764,-8.530048
